Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
"Population, total",SP.POP.TOTL,OECD members,OED,1104791543,1155551702,1200179492,1245447053,1291001492,1331743060,1370241530
"Population, total",SP.POP.TOTL,Other small states,OSS,17806417,19547007,21437978,23450481,26565994,29620768,32381190
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,1776243,1892547,2035672,2172802,2301401,2431426,2566819
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,964048985,995212216,1020793420,1046468599,1075046427,1097061415,1117443485
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,417144782,483031809,553089230,640493810,739525992,856420253,984213438
"Population, total",SP.POP.TOTL,Small states,SST,25640496,27759071,30055791,32425757,35871823,39276796,42392777
"Population, total",SP.POP.TOTL,South Asia,SAS,1141434379,1272943087,1406946728,1541135031,1660139325,1775178483,1882531620
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1141434379,1272943087,1406946728,1541135031,1660139325,1775178483,1882531620
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,516629688,589328085,671212486,766978666,879797419,1008698525,1151301807
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,516560181,589252781,671131355,766895808,879707649,1008605106,1151203345
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,516629688,589328085,671212486,766978666,879797419,1008698525,1151301807
"Population, total",SP.POP.TOTL,Upper middle income,UMC,1927678769,2051920108,2158201213,2243536298,2321793515,2417959696,2495285443
"Population, total",SP.POP.TOTL,World,WLD,5293517142,5726801833,6144322697,6552571570,6969631901,7404910892,7820981524
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 12/22/2022,,,,,,,,,,
